bn::v_entity@3.24019501056 (p2_report_view_bn_cache_entity, row count:18)
bn::v_entity@3.193613312 (36873458172297244, row count:1)
bn::v_entity@3.193512704 (stay_entity36873458172297239, row count:781)
bn::v_entity@3.193426176 (relations36873458172297272, row count:673)
bn::v_entity@3.193423104 (relations36873458172297254, row count:17)
bn::v_entity@3.193421824 (36873458172297257, row count:1)
bn::v_entity@3.193321216 (stay_entity36873458172297264, row count:781)
bn::v_entity@3.193319936 (36873458172297260, row count:1)
bn::v_entity@3.193318656 (tmp36873458172297254, row count:92)
bn::v_entity@3.193317376 (36873458172297221, row count:1)
bn::v_entity@3.193316096 (36873458172297256, row count:1)
bn::v_entity@3.193215488 (stay_entity36873458172297250, row count:781)
bn::v_entity@3.193214208 (36873458172297254, row count:1)
bn::v_entity@3.193212928 (36873458172297274, row count:1)
bn::v_entity@3.193126272 (relations36873458172297260, row count:675)
bn::v_entity@3.193124992 (36873458172297234, row count:1)
bn::v_entity@3.193024384 (stay_entity36873458172297247, row count:781)
bn::v_entity@3.192923776 (stay_entity36873458172297256, row count:781)
bn::v_entity@3.192837120 (relations36873458172297256, row count:675)
bn::v_entity@3.192750464 (relations36873458172297242, row count:675)
bn::v_entity@3.192749184 (36873458172297277, row count:1)
bn::v_entity@3.192648576 (stay_entity36873458172297248, row count:781)
bn::v_entity@3.192561920 (relations36873458172297240, row count:675)
bn::v_entity@3.192475264 (relations36873458172297263, row count:675)
bn::v_entity@3.192388608 (relations36873458172297249, row count:675)
bn::v_entity@3.192387328 (36873458172297268, row count:1)
bn::v_entity@3.192386304 (tmp36873458172297264, row count:781)
bn::v_entity@3.192385280 (tmp36873458172297234, row count:781)
bn::v_entity@3.192384256 (tmp36873458172297232, row count:781)
bn::v_entity@3.192382976 (36873458172297247, row count:1)
bn::v_entity@3.192381696 (36873458172297250, row count:1)
bn::v_entity@3.192380672 (tmp36873458172297260, row count:781)
bn::v_entity@3.192280064 (stay_entity36873458172297242, row count:781)
bn::v_entity@3.192193536 (relations36873458172297268, row count:673)
bn::v_entity@3.192106880 (relations36873458172297239, row count:675)
bn::v_entity@3.192020224 (relations36873458172297244, row count:675)
bn::v_entity@3.192019200 (tmp36873458172297257, row count:781)
bn::v_entity@3.191918592 (stay_entity36873458172297238, row count:781)
bn::v_entity@3.191831936 (relations36873458172297241, row count:675)
bn::v_entity@3.191830656 (36873458172297239, row count:1)
bn::v_entity@3.191829632 (tmp36873458172297244, row count:781)
bn::v_entity@3.191736448 (relations36873458172297220, row count:726)
bn::v_entity@3.191735424 (tmp36873458172297256, row count:781)
bn::v_entity@3.191648896 (relations36873458172297273, row count:673)
bn::v_entity@3.191647616 (36873458172297253, row count:1)
bn::v_entity@3.191646592 (tmp36873458172297249, row count:781)
bn::v_entity@3.191645568 (tmp36873458172297272, row count:781)
bn::v_entity@3.191552384 (relations36873458172297232, row count:726)
bn::v_entity@3.191551104 (36873458172297238, row count:1)
bn::v_entity@3.191464448 (relations36873458172297257, row count:675)
bn::v_entity@3.191377792 (relations36873458172297233, row count:675)
bn::v_entity@3.191291136 (relations36873458172297264, row count:675)
bn::v_entity@3.191289856 (36873458172297262, row count:1)
bn::v_entity@3.191288576 (36873458172297246, row count:1)
bn::v_entity@3.191287552 (tmp36873458172297271, row count:781)
bn::v_entity@3.191286272 (36873458172297242, row count:1)
bn::v_entity@3.191285248 (tmp36873458172297263, row count:781)
bn::v_entity@3.191284608 (entities20211, row count:33946)
bn::v_entity@3.191283968 (entities20211, row count:33946)
bn::v_entity@3.191283328 (entities20211, row count:33946)
bn::v_entity@3.191236992 (f7_rm_relation_table_2016_2020_10_21_09_19_50, row count:3605067)
bn::v_entity@3.191236480 (orange_new_management_2020_06_05_07_08_19, row count:5117)
bn::v_entity@3.191235712 (p2_report_view_entity, row count:146)
bn::v_entity@3.191235072 (entities20211, row count:33946)
bn::v_entity@3.191234560 (caandnv_new_management_2020_06_05_07_07_45, row count:727)
bn::v_entity@3.191233920 (entities20211, row count:33946)
bn::v_entity@3.191233664 (orange_lob, row count:5117)
bn::v_entity@3.191233024 (entities20211, row count:33946)
bn::v_entity@3.191232384 (entities20211, row count:33946)
bn::v_entity@3.191231872 (caandnv_new_management_2020_07_24_11_22_05, row count:727)
bn::v_entity@3.191230720 (f7_rm_relation_table_2016, row count:3882387)
bn::v_entity@3.191230080 (entities20211, row count:33946)
bn::v_entity@3.191229440 (ac_entities_zzmjrzh, row count:7930)
bn::v_entity@3.191228800 (entities20211, row count:33946)
bn::v_entity@3.191228160 (entities20211, row count:33946)
bn::v_entity@3.191227520 (entities20211, row count:33946)
bn::v_entity@3.191226496 (entities_details_2019_ac_hosp, row count:5471)
bn::v_entity@3.191225856 (entities20211, row count:33946)
bn::v_entity@3.191225216 (entities20211, row count:33946)
